
SIMPLE-AWD: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
epoch  train_loss  valid_loss  accuracy
1      0.649416    0.647229    0.685990
2      0.706873    0.691641    0.685990
3      0.670201    0.726385    0.458937
4      0.690806    0.731255    0.685990
5      0.645327    0.727395    0.632850
6      0.629580    0.620520    0.710145
7      0.596062    0.661676    0.599034
8      0.597975    0.540978    0.748792
9      0.570704    0.609342    0.700483
10     0.527811    0.532013    0.739130
11     0.498270    0.605291    0.700483
12     0.490823    0.904683    0.632850
13     0.457347    0.449251    0.811594
14     0.506082    0.570027    0.695652
15     0.523992    0.540617    0.685990
16     0.464894    0.593076    0.685990
17     0.461083    0.592322    0.734300
18     0.477477    0.488251    0.748792
19     0.464784    0.461906    0.792271
20     0.468677    0.508871    0.729469
epoch  train_loss  valid_loss  accuracy
1      0.698993    0.674374    0.685990
2      0.681261    0.741901    0.589372
3      0.673243    0.691606    0.550725
4      0.660150    0.782753    0.657005
5      0.661419    0.864157    0.285024
6      0.642826    0.741424    0.618357
7      0.660687    0.639411    0.734300
8      0.648620    0.644890    0.628019
9      0.633326    0.594514    0.705314
10     0.568808    0.555647    0.695652
11     0.589616    0.637025    0.724638
12     0.516931    0.504231    0.777778
13     0.549377    0.653517    0.719807
14     0.553716    0.589667    0.700483
15     0.503317    0.491168    0.768116
16     0.498252    0.621218    0.690821
17     0.446594    0.466256    0.792271
18     0.426354    0.427933    0.816425
19     0.435880    0.425458    0.811594
20     0.403131    0.363149    0.845411
epoch  train_loss  valid_loss  accuracy
1      0.686770    0.640635    0.685990
2      0.685699    0.635501    0.681159
3      0.668689    0.592838    0.714976
4      0.671721    0.584984    0.763285
5      0.629124    0.645290    0.710145
6      0.646562    0.597200    0.705314
7      0.640446    0.530457    0.743961
8      0.624749    0.534197    0.772947
9      0.617930    0.643480    0.700483
10     0.568434    0.518154    0.753623
11     0.536602    0.528160    0.787440
12     0.545430    0.434717    0.821256
13     0.509780    0.499344    0.777778
14     0.515786    0.571115    0.714976
15     0.510236    0.457978    0.811594
16     0.499236    0.538426    0.705314
17     0.459222    0.413348    0.830918
18     0.456213    0.452114    0.806763
19     0.496053    0.466791    0.777778
20     0.476754    0.416869    0.811594
total elapsed time: 00:43:44

AWD-Pretrained-Wiki: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.706648    0.610636    0.719807
2      0.664428    0.868042    0.318841
3      0.640854    1.056895    0.314010
4      0.644284    0.941538    0.275362
epoch  train_loss  valid_loss  accuracy
1      0.597869    1.028727    0.314010
2      0.638238    0.842115    0.342995
3      0.609189    1.019846    0.314010
4      0.610137    1.119283    0.314010
5      0.645426    0.818187    0.342995
6      0.650292    0.817987    0.347826
7      0.614034    0.887178    0.318841
8      0.608995    0.900263    0.314010
9      0.615814    0.938891    0.323671
10     0.602301    0.961423    0.318841
11     0.588839    1.063157    0.314010
12     0.621883    0.862769    0.328502
13     0.586724    0.978454    0.314010
14     0.597098    0.897946    0.333333
15     0.614332    0.860747    0.362319
16     0.608013    0.829586    0.357488
17     0.616338    0.778314    0.444444
18     0.602164    0.859156    0.367150
19     0.576450    0.936689    0.328502
20     0.582724    0.907882    0.333333
epoch  train_loss  valid_loss  accuracy
1      0.710223    1.127244    0.314010
2      0.711891    1.066476    0.314010
3      0.698007    1.143009    0.314010
4      0.664247    1.270962    0.314010
epoch  train_loss  valid_loss  accuracy
1      0.687276    1.120833    0.314010
2      0.699201    1.104121    0.314010
3      0.654287    1.203955    0.314010
4      0.634265    1.439050    0.299517
5      0.636417    1.473689    0.280193
6      0.620106    1.300555    0.256039
7      0.683118    0.895728    0.367150
8      0.679706    0.902742    0.357488
9      0.650546    0.973509    0.323671
10     0.648057    0.968295    0.323671
11     0.663178    0.784320    0.425121
12     0.625698    0.959967    0.328502
13     0.621067    0.835386    0.400966
14     0.641406    0.776920    0.439614
15     0.647957    0.727117    0.468599
16     0.646780    0.738613    0.468599
17     0.608542    1.024859    0.323671
18     0.597536    1.115155    0.314010
19     0.582777    1.149624    0.314010
20     0.612250    0.923262    0.323671
epoch  train_loss  valid_loss  accuracy
1      0.698164    0.755879    0.396135
2      0.700522    0.750269    0.367150
3      0.685686    0.737962    0.367150
4      0.682424    0.751636    0.376812
epoch  train_loss  valid_loss  accuracy
1      0.643569    1.000950    0.314010
2      0.619211    1.136960    0.314010
3      0.646635    1.052648    0.294686
4      0.640291    1.053019    0.299517
5      0.648173    0.934959    0.304348
6      0.636459    0.908062    0.304348
7      0.642779    0.932765    0.318841
8      0.632700    0.921233    0.289855
9      0.637126    0.888773    0.314010
10     0.651267    0.812237    0.516908
11     0.625398    0.839777    0.410628
12     0.603026    0.916244    0.352657
13     0.608691    0.802932    0.410628
14     0.619543    0.827613    0.333333
15     0.645934    0.756705    0.444444
16     0.622482    0.865300    0.338164
17     0.634351    0.886032    0.342995
18     0.628721    0.824177    0.400966
19     0.609218    0.726503    0.458937
20     0.608241    0.810837    0.420290
epoch  train_loss  valid_loss  accuracy
1      0.746327    0.813322    0.299517
2      0.738256    0.967427    0.265700
3      0.716564    1.184905    0.294686
4      0.708858    1.129963    0.299517
epoch  train_loss  valid_loss  accuracy
1      0.735289    0.943517    0.251208
2      0.685405    1.080429    0.299517
3      0.667429    1.249741    0.270531
4      0.657881    1.376783    0.314010
5      0.650598    1.190769    0.314010
6      0.666852    1.120745    0.314010
7      0.648606    1.108143    0.304348
8      0.671666    0.883853    0.323671
9      0.636825    1.063943    0.304348
10     0.617946    1.189501    0.299517
11     0.632229    1.008861    0.260870
12     0.616636    1.013357    0.256039
13     0.648167    0.984052    0.246377
14     0.626621    1.011161    0.251208
15     0.647155    0.855524    0.352657
16     0.665234    0.852162    0.352657
17     0.644843    0.796798    0.458937
18     0.610121    0.958573    0.309179
19     0.622572    1.015591    0.265700
20     0.584084    1.189614    0.256039
epoch  train_loss  valid_loss  accuracy
1      0.724703    0.764152    0.362319
2      0.712014    0.880156    0.323671
3      0.711399    0.986014    0.314010
4      0.697830    1.106399    0.314010
epoch  train_loss  valid_loss  accuracy
1      0.677535    1.066339    0.314010
2      0.663360    1.172910    0.314010
3      0.699612    0.905959    0.318841
4      0.689927    0.895080    0.280193
5      0.667610    1.063442    0.280193
6      0.653096    1.140070    0.256039
7      0.642638    1.031139    0.285024
8      0.669002    1.076056    0.227053
9      0.654449    0.986382    0.294686
10     0.636159    1.188191    0.256039
11     0.645046    0.927312    0.304348
12     0.632721    0.967044    0.285024
13     0.656855    0.812212    0.405797
14     0.610913    1.108377    0.251208
15     0.607800    1.062811    0.270531
16     0.620277    0.978760    0.309179
17     0.609887    0.940385    0.342995
18     0.604475    0.924319    0.352657
19     0.603250    0.908571    0.357488
20     0.617418    0.722025    0.516908
total elapsed time: 01:17:20

AWD-Finetuned-Autopsy: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.703348    0.637531    0.623188
2      0.694577    0.594881    0.685990
3      0.665242    0.545596    0.695652
4      0.617207    0.600999    0.676328
epoch  train_loss  valid_loss  accuracy
1      0.615590    0.551561    0.739130
2      0.608961    0.462411    0.830918
3      0.555032    0.425510    0.850242
4      0.549601    0.412351    0.859903
5      0.531262    0.424609    0.869565
6      0.554292    0.393622    0.869565
7      0.558827    0.438172    0.845411
8      0.565422    0.407698    0.864734
9      0.539698    0.394253    0.869565
10     0.471213    0.357454    0.874396
11     0.432232    0.418183    0.845411
12     0.432257    0.353273    0.879227
13     0.416061    0.310876    0.888889
14     0.429900    0.297878    0.903382
15     0.454370    0.344605    0.898551
16     0.413452    0.337820    0.869565
17     0.413617    0.354348    0.884058
18     0.437795    0.315215    0.893720
19     0.398461    0.353399    0.869565
20     0.383881    0.269455    0.917874
epoch  train_loss  valid_loss  accuracy
1      0.693041    0.591178    0.734300
2      0.641332    0.531983    0.753623
3      0.651826    0.484242    0.743961
4      0.637734    0.512270    0.787440
epoch  train_loss  valid_loss  accuracy
1      0.629838    0.486520    0.806763
2      0.586572    0.454626    0.821256
3      0.556849    0.452152    0.821256
4      0.529526    0.445433    0.850242
5      0.540407    0.398750    0.845411
6      0.532267    0.411523    0.845411
7      0.541525    0.385776    0.874396
8      0.515105    0.391462    0.859903
9      0.468852    0.364933    0.884058
10     0.498485    0.346895    0.903382
11     0.486589    0.341510    0.884058
12     0.431094    0.312214    0.893720
13     0.422893    0.330501    0.884058
14     0.430159    0.355531    0.879227
15     0.388974    0.315809    0.888889
16     0.397781    0.357007    0.884058
17     0.432822    0.338185    0.874396
18     0.381256    0.328314    0.879227
19     0.325236    0.324077    0.879227
20     0.384548    0.303502    0.908213
epoch  train_loss  valid_loss  accuracy
1      0.668484    0.628310    0.579710
2      0.638665    0.586020    0.690821
3      0.653129    0.562371    0.743961
4      0.604639    0.520440    0.763285
epoch  train_loss  valid_loss  accuracy
1      0.628284    0.498085    0.830918
2      0.616977    0.454500    0.859903
3      0.548998    0.438517    0.840580
4      0.573349    0.415085    0.859903
5      0.546043    0.427094    0.864734
6      0.581715    0.398145    0.850242
7      0.568603    0.382893    0.864734
8      0.511700    0.373271    0.864734
9      0.470568    0.386532    0.864734
10     0.429128    0.340661    0.888889
11     0.497884    0.369165    0.855072
12     0.433222    0.324448    0.879227
13     0.417131    0.338660    0.874396
14     0.380764    0.319516    0.884058
15     0.426156    0.302557    0.884058
16     0.444065    0.340003    0.864734
17     0.379629    0.334036    0.879227
18     0.432922    0.335522    0.864734
19     0.418738    0.314672    0.888889
20     0.385113    0.303508    0.908213
epoch  train_loss  valid_loss  accuracy
1      0.694891    0.655700    0.589372
2      0.682190    0.589484    0.753623
3      0.660479    0.539588    0.772947
4      0.606714    0.525312    0.772947
epoch  train_loss  valid_loss  accuracy
1      0.641694    0.465516    0.859903
2      0.591368    0.472342    0.811594
3      0.547630    0.444722    0.850242
4      0.567117    0.458478    0.830918
5      0.543596    0.406826    0.859903
6      0.514192    0.388030    0.869565
7      0.513257    0.415548    0.855072
8      0.496617    0.423927    0.840580
9      0.494248    0.357682    0.893720
10     0.460183    0.391594    0.850242
11     0.423827    0.354972    0.879227
12     0.443425    0.351807    0.869565
13     0.387438    0.347970    0.888889
14     0.410332    0.346555    0.884058
15     0.412761    0.355844    0.903382
16     0.351778    0.342958    0.864734
17     0.390641    0.330468    0.879227
18     0.416338    0.324729    0.898551
19     0.394199    0.307793    0.888889
20     0.347830    0.335817    0.903382
epoch  train_loss  valid_loss  accuracy
1      0.714347    0.677298    0.536232
2      0.685085    0.591956    0.758454
3      0.662744    0.512199    0.811594
4      0.611829    0.543043    0.782609
epoch  train_loss  valid_loss  accuracy
1      0.620546    0.555399    0.739130
2      0.612600    0.436675    0.801932
3      0.539503    0.453626    0.821256
4      0.559575    0.460656    0.845411
5      0.530529    0.432919    0.845411
6      0.523809    0.417020    0.835749
7      0.489609    0.438354    0.840580
8      0.499519    0.429622    0.845411
9      0.525747    0.379267    0.869565
10     0.465939    0.355790    0.874396
11     0.464296    0.338948    0.855072
12     0.507585    0.339433    0.884058
13     0.430459    0.381384    0.850242
14     0.414098    0.310625    0.884058
15     0.419145    0.320138    0.869565
16     0.412534    0.292872    0.864734
17     0.424436    0.334647    0.864734
18     0.372114    0.354580    0.850242
19     0.362736    0.302981    0.864734
20     0.372268    0.327984    0.845411
total elapsed time: 01:50:56

AWD-Finetuned-Nidia: drop=0.7 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.676542    0.646567    0.608696
2      0.643268    0.638649    0.594203
3      0.682107    0.626968    0.613527
4      0.665918    0.606581    0.652174
epoch  train_loss  valid_loss  accuracy
1      0.630260    0.544469    0.748792
2      0.626657    0.588600    0.690821
3      0.626289    0.564912    0.714976
4      0.640754    0.543158    0.695652
5      0.643007    0.531871    0.734300
6      0.639839    0.523916    0.743961
7      0.623914    0.540757    0.729469
8      0.574293    0.619094    0.681159
9      0.566799    0.592385    0.714976
10     0.585473    0.592223    0.695652
11     0.609606    0.535651    0.719807
12     0.558940    0.544005    0.739130
13     0.538786    0.536618    0.743961
14     0.558265    0.555534    0.724638
15     0.582003    0.555601    0.743961
16     0.541257    0.550889    0.743961
17     0.533689    0.530406    0.739130
18     0.538721    0.541460    0.739130
19     0.564787    0.516336    0.763285
20     0.535592    0.556488    0.719807
epoch  train_loss  valid_loss  accuracy
1      0.707155    0.675483    0.570048
2      0.672780    0.608958    0.724638
3      0.665234    0.598616    0.748792
4      0.671921    0.581795    0.763285
epoch  train_loss  valid_loss  accuracy
1      0.614962    0.605517    0.719807
2      0.648483    0.571926    0.763285
3      0.616895    0.621575    0.714976
4      0.639686    0.571969    0.724638
5      0.634453    0.630027    0.685990
6      0.619878    0.650311    0.666667
7      0.578202    0.622818    0.719807
8      0.617063    0.625526    0.695652
9      0.637100    0.571942    0.710145
10     0.610825    0.605324    0.729469
11     0.586678    0.605394    0.743961
12     0.541615    0.635226    0.719807
13     0.599991    0.563398    0.734300
14     0.566904    0.587069    0.743961
15     0.551658    0.587678    0.734300
16     0.587214    0.523122    0.782609
17     0.529326    0.568115    0.753623
18     0.551111    0.522324    0.714976
19     0.544894    0.517014    0.768116
20     0.518681    0.485034    0.748792
epoch  train_loss  valid_loss  accuracy
1      0.700504    0.660058    0.666667
2      0.660940    0.622312    0.690821
3      0.650657    0.603472    0.695652
4      0.613514    0.584349    0.724638
epoch  train_loss  valid_loss  accuracy
1      0.635094    0.564864    0.714976
2      0.596241    0.581756    0.724638
3      0.602102    0.545887    0.729469
4      0.599093    0.530728    0.739130
5      0.609302    0.539770    0.729469
